date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/1979,,,,,,,,,,
1/2/1979,,,,,,,,,,
1/3/1979,-8.9,-13,-7,,,258,16.4,,,
1/4/1979,,,,,,,,,,
1/5/1979,-14.2,-17,-9,,,125,4.8,,,
1/6/1979,-12,-16,-8,,,,2.3,,,
1/7/1979,,,,,,,,,,
1/8/1979,,,,,,,,,,
1/9/1979,1.5,-1,3,,,,8.7,,,
1/10/1979,-0.1,-3,2,,,198,11.5,,,
1/11/1979,,,,,,,,,,
1/12/1979,,,,,,,,,,
1/13/1979,,,,,,,,,,
1/14/1979,-3.3,-4,-2,,,263,17.5,,,
1/15/1979,,,,,,,,,,
1/16/1979,-6.3,-7,-5,,,277,8.8,,,
1/17/1979,-8,-11,-6,,,135,9.1,,,
1/18/1979,-10.4,-15,-8,,,,,,,
1/19/1979,,,,,,,,,,
1/20/1979,,,,,,,,,,
1/21/1979,-4.4,-5,-3,,,,3.3,,,
1/22/1979,,,,,,,,,,
1/23/1979,,,,,,,,,,
1/24/1979,1.3,-2,4,,,253,10.5,,,
1/25/1979,,,,,,,,,,
1/26/1979,-3.8,-12,2,,,,5.3,,,
1/27/1979,0.2,-2,3,,,,6.4,,,
1/28/1979,0.4,-2,2,,,,5.8,,,
1/29/1979,-0.7,-5,1,,,,4.6,,,
1/30/1979,-0.3,-5,3,,,207,11.2,,,
1/31/1979,,,,,,,,,,
2/1/1979,-2.2,-7,0,,,172,14.8,,,
2/2/1979,,,,,,,,,,
2/3/1979,1.9,0,4,,,,4.1,,,
2/4/1979,0.5,0,2,,,,6.3,,,
2/5/1979,3.3,0,7,,,,9.4,,,
2/6/1979,-0.8,-2,0,,,358,6,,,
2/7/1979,-1,-3,3,,,119,11,,,
2/8/1979,,,,,,,,,,
2/9/1979,-1.1,-3,1,,,,7.4,,,
2/10/1979,0,-1,1,,,58,10.1,,,
2/11/1979,-1.6,-3,0,,,84,16,,,
2/12/1979,2.3,-2,8,,,,4.7,,,
2/13/1979,,,,,,,,,,
2/14/1979,4.3,0,11,,,,,,,
2/15/1979,1.8,0,6,,,,7,,,
2/16/1979,1.5,1,2,,,72,15.1,,,
2/17/1979,3,2,5,,,210,12.8,,,
2/18/1979,,,,,,,,,,
2/19/1979,,,,,,,,,,
2/20/1979,0.3,-3,3,,,57,9.1,,,
2/21/1979,,,,,,,,,,
2/22/1979,-0.3,-4,2,,,,4,,,
2/23/1979,,,,,,,,,,
2/24/1979,-0.9,-3,1,,,,5.1,,,
2/25/1979,-2.6,-4,-1,,,318,8.1,,,
2/26/1979,-3,-6,-1,,,,4.9,,,
2/27/1979,,,,,,,,,,
2/28/1979,-3.6,-9,3,,,121,6.8,,,
3/1/1979,0.9,-3,4,,,,8.5,,,
3/2/1979,1.9,-3,7,,,225,10.3,,,
3/3/1979,3.9,-3,13,,,,6.5,,,
3/4/1979,5.8,-1,13,,,234,9.9,,,
3/5/1979,,,,,,,,,,
3/6/1979,4.3,3,6,,,106,8.3,,,
3/7/1979,4.6,1,9,,,229,10,,,
3/8/1979,2.4,-1,6,,,,15.3,,,
3/9/1979,,,,,,,,,,
3/10/1979,,,,,,,,,,
3/11/1979,,,,,,,,,,
3/12/1979,,,,,,,,,,
3/13/1979,9.6,5,14,,,268,13.5,,,
3/14/1979,,,,,,,,,,
3/15/1979,11.1,5,19,,,126,12.9,,,
3/16/1979,,,,,,,,,,
3/17/1979,,,,,,,,,,
3/18/1979,5.7,-1,11,,,130,14.3,,,
3/19/1979,,,,,,,,,,
3/20/1979,,,,,,,,,,
3/21/1979,6.2,0,12,,,218,12.1,,,
3/22/1979,,,,,,,,,,
3/23/1979,2.7,-1,5,,,216,14.1,,,
3/24/1979,,,,,,,,,,
3/25/1979,,,,,,,,,,
3/26/1979,10.2,6,16,,,210,12.6,,,
3/27/1979,,,,,,,,,,
3/28/1979,,,,,,,,,,
3/29/1979,,,,,,,,,,
3/30/1979,1.7,0,3,,,258,33.3,,,
3/31/1979,2.1,1,3,,,264,17.4,,,
4/1/1979,3.5,1,6,,,250,12,,,
4/2/1979,5,2,10,,,227,12.5,,,
4/3/1979,3.7,-1,8,,,197,11.1,,,
4/4/1979,,,,,,,,,,
4/5/1979,,,,,,,,,,
4/6/1979,0.5,0,3,,,287,12.4,,,
4/7/1979,0.8,0,1,,,275,13.6,,,
4/8/1979,,,,,,,,,,
4/9/1979,2.3,-4,10,,,81,10.9,,,
4/10/1979,,,,,,,,,,
4/11/1979,8,-1,16,,,,9.6,,,
4/12/1979,8.1,6,9,,,230,13.5,,,
4/13/1979,9.6,6,15,,,,7.8,,,
4/14/1979,9.9,2,18,,,168,8.3,,,
4/15/1979,11,5,18,,,,7,,,
4/16/1979,11.3,3,19,,,,8.8,,,
4/17/1979,,,,,,,,,,
4/18/1979,1.3,0,3,,,,10.2,,,
4/19/1979,2.7,-1,5,,,63,7.7,,,
4/20/1979,,,,,,,,,,
4/21/1979,,,,,,,,,,
4/22/1979,7,0,12,,,224,11.3,,,
4/23/1979,9,4,12,,,223,13.7,,,
4/24/1979,,,,,,,,,,
4/25/1979,,,,,,,,,,
4/26/1979,,,,,,,,,,
4/27/1979,,,,,,,,,,
4/28/1979,4.4,3,5,,,275,10,,,
4/29/1979,5.4,0,11,,,,5.8,,,
4/30/1979,,,,,,,,,,
5/1/1979,,,,,,,,,,
5/2/1979,,,,,,,,,,
5/3/1979,1.5,0,4,,,240,16.5,,,
5/4/1979,,,,,,,,,,
5/5/1979,,,,,,,,,,
5/6/1979,4.8,-1,9,,,,7.7,,,
5/7/1979,6,0,11,,,,7.5,,,
5/8/1979,,,,,,,,,,
5/9/1979,10,1,17,,,,5.2,,,
5/10/1979,11.5,4,18,,,253,11.8,,,
5/11/1979,11.3,6,16,,,235,14.3,,,
5/12/1979,10.8,9,14,,,269,13.4,,,
5/13/1979,10.7,8,14,,,,5,,,
5/14/1979,11,4,17,,,,9.3,,,
5/15/1979,13.5,5,21,,,,9.5,,,
5/16/1979,16.4,6,24,,,,5.7,,,
5/17/1979,17.3,10,23,,,188,9.1,,,
5/18/1979,17.9,12,25,,,99,12.4,,,
5/19/1979,16,11,23,,,,6.8,,,
5/20/1979,,,,,,,,,,
5/21/1979,10.9,6,15,,,,12.2,,,
5/22/1979,15,5,24,,,,6.5,,,
5/23/1979,17.7,9,25,,,,,,,
5/24/1979,16.8,9,26,,,,14.7,,,
5/25/1979,12,7,18,,,,10.6,,,
5/26/1979,16,7,24,,,,10,,,
5/27/1979,16.5,10,23,,,224,11.3,,,
5/28/1979,,,,,,,,,,
5/29/1979,,,,,,,,,,
5/30/1979,19.5,11,27,,,65,9.7,,,
5/31/1979,20,11,27,,,,6.4,,,
6/1/1979,,,,,,,,,,
6/2/1979,20.8,12,29,,,,14.4,,,
6/3/1979,21.1,12,28,,,,6.5,,,
6/4/1979,20.9,13,28,,,,11.5,,,
6/5/1979,,,,,,,,,,
6/6/1979,,,,,,,,,,
6/7/1979,,,,,,,,,,
6/8/1979,,,,,,,,,,
6/9/1979,16,7,23,,,,5.3,,,
6/10/1979,19.2,11,26,,,,7.5,,,
6/11/1979,,,,,,,,,,
6/12/1979,19.8,13,26,,,,,,,
6/13/1979,,,,,,,,,,
6/14/1979,,,,,,,,,,
6/15/1979,,,,,,,,,,
6/16/1979,,,,,,,,,,
6/17/1979,,,,,,,,,,
6/18/1979,8.9,8,9,,,282,9.7,,,
6/19/1979,,,,,,,,,,
6/20/1979,12.5,10,16,,,212,10.1,,,
6/21/1979,,,,,,,,,,
6/22/1979,,,,,,,,,,
6/23/1979,17,14,22,,,,9.5,,,
6/24/1979,,,,,,,,,,
6/25/1979,,,,,,,,,,
6/26/1979,19.6,13,25,,,,5.5,,,
6/27/1979,,,,,,,,,,
6/28/1979,17.9,15,21,,,,9.3,,,
6/29/1979,18.1,12,24,,,,5.5,,,
6/30/1979,16.3,14,19,,,301,10.3,,,
7/1/1979,13.1,11,15,,,,5.9,,,
7/2/1979,,,,,,,,,,
7/3/1979,9.9,9,11,,,,6.8,,,
7/4/1979,,,,,,,,,,
7/5/1979,,,,,,,,,,
7/6/1979,16.1,8,21,,,263,11.2,,,
7/7/1979,16.8,14,20,,,252,13.8,,,
7/8/1979,14.3,10,17,,,254,21.4,,,
7/9/1979,13.5,10,16,,,233,16.1,,,
7/10/1979,14.5,12,17,,,304,9.5,,,
